Product_id,Product_name,Slope Theshold,Irrigated,Dry,Vulnerable,Dosis Max N ,Source,condición,,
0,PRODUCTO DESCONOCIDO,,,,,,,,,
1,TRIGO BLANDO,10,210,170,130,210,Trigo,no,,
2,ESPELTA,10,210,170,130,210,Trigo,no,,
3,TRIGO DURO,10,210,170,130,210,Trigo,no,,
4,MAÍZ - CORN,10,300,210,,450,Maiz,no,,
5,CEBADA,10,210,170,130,210,Cebada,no,,
6,CENTENO,10,170,120,90,170,Cereales de primavera,no,,
7,SORGO,10,250,200,120,250,sorgo,no,,
8,AVENA,10,210,170,130,210,Cereales de primavera,no,,
9,ALFORFÓN,10,170,120,90,170,Cereales de primavera,no,,
10,MIJO,10,170,120,90,170,Cereales de primavera,no,,
11,ALPISTE,10,170,120,90,170,Cereales de primavera,no,,
12,TRANQUILLÓN,10,170,120,90,170,Cereales de primavera,no,,
13,TRITICALE,10,170,120,90,170,Cereales de primavera,no,,
14,TRITORDEUM,10,210,170,90,210,Trigo,no,,
19,TEFF,10,170,120,90,170,Cereales de primavera,no,,
20,BARBECHO TRADICIONAL,10,170,100,,100,Otros cultivos leñosos,no,,
21,BARBECHO MEDIOAMBIENTAL ABANDONO 5 AÑOS,10,170,100,,100,Otros cultivos leñosos,no,,
23,BARBECHO MEDIOAMBIENTAL,10,170,100,,100,Otros cultivos leñosos,no,,
24,BARBECHO SIN PRODUCCIÓN,10,170,100,,100,Otros cultivos leñosos,no,,
25,ABANDONO 20 años,10,170,100,,100,Otros cultivos leñosos,no,,
28,RETIRADA FORESTACIÓN,10,170,100,,100,Otros cultivos leñosos,no,,
33,GIRASOL,10,210,170,130,210,Girasol,no,,
34,SOJA,10,170,120,90,170,"Otros cultivos extensivos (nabos, lino, etc.)",no,,
35,COLZA,10,210,170,130,210,Colza,no,,
36,CAMELINA,10,210,170,130,210,Colza,no,,
40,GUISANTE,10,200,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
41,HABA,10,200,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
43,ALTRAMUZ BLANCO,10,125,90,60,125,,no,,
49,ALUBIA,10,125,90,60,125,"""Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)""",no,,
50,GARBANZO,10,125,90,60,125,"Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)",no,,
51,LENTEJA,10,125,90,60,125,"""Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)""",no,,
52,VEZA,10,125,90,60,125,"""Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)""",no,,
53,YEROS,10,125,90,60,125,"""Otras leguminosas herbáceas extensivas
(guisante, haboncillo, veza, etc.)""",no,,
60,ALFALFA,10,170,120,80,170,Prados permanentes o anuales,no,,
